ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,13/12/2019 01:53,James,Sunderland,Male,Con hold,Con,Lab,"78,978","54,350",212,"31,894",58.7%,"19,829","31,894","12,065","7,749",0,"2,089",0,0,0,0,0,0,0,553,0
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 04:47,Imran,Hussain,Male,Lab hold,Lab,Con,"73,206","44,184",91,"27,825",63.0%,"18,144","9,681","27,825","3,316","2,700",662,0,0,0,0,0,0,0,0,0
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 05:01,Judith,Cummins,Female,Lab hold,Lab,Con,"69,046","39,741",87,"18,390",46.3%,"2,346","16,044","18,390","1,505","2,819",983,0,0,0,0,0,0,0,0,0
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 04:27,Naz,Shah,Female,Lab hold,Lab,Con,"70,694","44,261",134,"33,736",76.2%,"27,019","6,717","33,736","1,349","1,556",813,0,0,0,0,0,0,0,90,0
E14000590,E12000006,Braintree,Essex,East of England,England,County,13/12/2019 03:12,James,Cleverly,Male,Con hold,Con,Lab,"75,208","50,499",258,"34,112",67.5%,"24,673","34,112","9,439","4,779",0,0,0,0,0,0,0,0,0,"2,169",0
W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,13/12/2019 03:40,Fay,Jones,Female,Con hold,Con,LD,"55,490","41,319",110,"21,958",53.1%,"7,131","21,958","3,944","14,827",0,0,0,0,0,0,0,0,0,590,0
E14000591,E12000007,Brent Central,London,London,England,Borough,13/12/2019 03:37,Dawn,Butler,Female,Lab hold,Lab,Con,"84,032","49,132",224,"31,779",64.7%,"20,870","10,909","31,779","4,844",0,"1,600",0,0,0,0,0,0,0,0,0
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,13/12/2019 04:22,Ruth,Cadbury,Female,Lab hold,Lab,Con,"85,775","58,326",145,"29,266",50.2%,"10,514","18,752","29,266","7,314","1,165","1,829",0,0,0,0,0,0,0,0,0
E14000592,E12000007,Brent North,London,London,England,Borough,13/12/2019 03:36,Barry,Gardiner,Male,Lab hold,Lab,Con,"83,788","51,879",199,"26,911",51.9%,"8,079","18,832","26,911","4,065",951,850,0,0,0,0,0,0,0,270,0
E14000594,E12000006,Brentwood and Ongar,Essex,East of England,England,County,13/12/2019 03:11,Alex,Burghart,Male,Con hold,Con,Lab,"75,255","52,949",238,"36,308",68.6%,"29,065","36,308","7,243","7,187",0,"1,679",0,0,0,0,0,0,0,532,0
W07000073,W92000004,Bridgend,Gwent and Mid Glamorgan,Wales,Wales,County,13/12/2019 03:07,Jamie,Wallis,Male,Con gain from Lab,Con,Lab,"63,303","42,236",101,"18,193",43.1%,"1,157","18,193","17,036","2,368","1,811",815,0,"2,013",0,0,0,0,0,0,0
E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,13/12/2019 04:37,Ian,Liddell-Grainger,Male,Con hold,Con,Lab,"85,327","57,652",279,"35,827",62.1%,"24,439","35,827","11,388","7,805",0,"1,877",0,0,0,0,0,0,0,755,0
E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,13/12/2019 04:04,Andrew,Percy,Male,Con hold,Con,Lab,"65,939","43,402",178,"30,941",71.3%,"21,941","30,941","9,000","2,180",0,"1,281",0,0,0,0,0,0,0,0,0
E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,13/12/2019 03:44,Lloyd,Russell-Moyle,Male,Lab hold,Lab,Con,"69,833","48,533",140,"25,033",51.6%,"8,061","16,972","25,033","2,964","1,327","2,237",0,0,0,0,0,0,0,0,0
E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,13/12/2019 04:21,Caroline,Lucas,Female,Green hold,Green,Lab,"79,057","57,998",158,"33,151",57.2%,"19,940","10,176","13,211",0,770,"33,151",0,0,0,0,0,0,0,690,0
E14000599,E12000009,Bristol East,Avon,South West,England,Borough,13/12/2019 03:34,Kerry,McCarthy,Female,Lab hold,Lab,Con,"73,867","52,154",157,"27,717",53.1%,"10,794","16,923","27,717","3,527","1,881","2,106",0,0,0,0,0,0,0,0,0
E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,13/12/2019 03:24,Darren,Jones,Male,Lab hold,Lab,Con,"76,273","55,885",169,"27,330",48.9%,"5,692","21,638","27,330","4,940",0,"1,977",0,0,0,0,0,0,0,0,0
E14000601,E12000009,Bristol South,Avon,South West,England,Borough,13/12/2019 03:30,Karin,Smyth,Female,Lab hold,Lab,Con,"84,079","55,196",181,"27,895",50.5%,"9,859","18,036","27,895","4,227","2,325","2,713",0,0,0,0,0,0,0,0,0
E14000602,E12000009,Bristol West,Avon,South West,England,Borough,13/12/2019 03:52,Thangam,Debbonaire,Female,Lab hold,Lab,Green,"99,253","75,528",355,"47,028",62.3%,"28,219","8,822","47,028",0,869,"18,809",0,0,0,0,0,0,0,0,0
E14000603,E12000006,Broadland,Norfolk,East of England,England,County,13/12/2019 05:06,Jerome,Mayhew,Male,Con hold,Con,Lab,"78,151","56,977",197,"33,934",59.6%,"21,861","33,934","12,073","9,195",0,"1,412",0,0,0,0,0,0,0,363,0
E14000604,E12000007,Bromley and Chislehurst,London,London,England,Borough,13/12/2019 04:07,Robert,Neill,Male,Con hold,Con,Lab,"66,697","45,566",201,"23,958",52.6%,"10,891","23,958","13,067","6,621",0,"1,546",0,0,0,0,0,0,0,374,0
