ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001481,E12000006,South Cambridgeshire,,East of England,England,Pippa,Heylings,Female,LD gain from Con,LD,Con,77327,54885,228,10641,25704,46.8%,25704,46.8%,15063,6106,25704,4897,2656,0,0,0,0,0,0,0,459,0
E14001482,E12000009,South Cotswolds,,South West,England,Roz,Savage,Female,LD gain from Con,LD,Con,71971,52287,163,4973,22961,43.9%,22961,43.9%,17988,3942,22961,5146,1564,0,0,0,0,0,0,0,686,0
E14001483,E12000004,South Derbyshire,,East Midlands,England,Samantha,Niblett,Female,Lab gain from Con,Lab,Con,73714,45737,153,4168,17734,38.8%,17734,38.8%,13566,17734,2134,8979,1941,0,0,0,0,0,0,0,1383,0
E14001484,E12000009,South Devon,,South West,England,Caroline,Voaden,Female,LD gain from Con,LD,Con,72261,49004,142,7127,22540,46.0%,22540,46.0%,15413,3066,22540,6363,1497,0,0,0,0,0,0,0,125,0
E14001485,E12000009,South Dorset,,South West,England,Lloyd,Hatton,Male,Lab gain from Con,Lab,Con,75924,49037,171,1048,15659,31.9%,15659,31.9%,14611,15659,8017,8168,2153,0,0,0,0,0,0,0,429,0
N05000015,N92000002,South Down,,Northern Ireland,Northern Ireland,Chris,Hazzard,Male,SF hold,SF,SDLP,76248,45243,228,9280,19698,43.5%,19698,43.5%,46,0,0,0,444,0,0,7349,19698,10418,1411,3187,2690,0
E14001486,E12000009,South East Cornwall,,South West,England,Anna,Gelderd,Female,Lab gain from Con,Lab,Con,72654,49286,136,1911,15670,31.8%,15670,31.8%,13759,15670,8284,9311,1999,0,0,0,0,0,0,0,263,0
E14001487,E12000004,South Holland and The Deepings,,East Midlands,England,John,Hayes,Male,Con hold,Con,RUK,78473,45930,133,6856,17462,38.0%,17462,38.0%,17462,9086,1945,10606,1800,0,0,0,0,0,0,0,5031,0
E14001488,E12000004,South Leicestershire,,East Midlands,England,Alberto,Costa,Male,Con hold,Con,Lab,78511,51359,183,5506,18264,35.6%,18264,35.6%,18264,12758,7621,10235,2481,0,0,0,0,0,0,0,0,0
E14001489,E12000006,South Norfolk,,East of England,England,Ben,Goldsborough,Male,Lab gain from Con,Lab,Con,74006,49579,164,2826,17353,35.0%,17353,35.0%,14527,17353,5746,7583,3987,0,0,0,0,0,0,0,383,0
E14001490,E12000004,South Northamptonshire,,East Midlands,England,Sarah,Bool,Female,Con hold,Con,Lab,78233,53697,187,3687,19191,35.7%,19191,35.7%,19191,15504,4989,8962,3040,0,0,0,0,0,0,0,2011,0
E14001491,E12000002,South Ribble,,North West,England,Paul,Foster,Male,Lab gain from Con,Lab,Con,73420,46720,170,6501,19840,42.5%,19840,42.5%,13339,19840,2972,8995,1574,0,0,0,0,0,0,0,0,0
E14001492,E12000001,South Shields,,North East,England,Emma,Lewell-Buck,Female,Lab hold,Lab,RUK,68366,36824,88,6653,15122,41.1%,15122,41.1%,4128,15122,1402,8469,5433,0,0,0,0,0,0,0,2270,0
E14001493,E12000005,South Shropshire,,West Midlands,England,Stuart,Anderson,Male,Con hold,Con,LD,76677,51653,209,1624,17628,34.1%,17628,34.1%,17628,6939,16004,9171,1911,0,0,0,0,0,0,0,0,0
E14001494,E12000006,South Suffolk,,East of England,England,James,Cartlidge,Male,Con hold,Con,Lab,74619,48801,183,3047,16082,33.0%,16082,33.0%,16082,13035,6424,9252,4008,0,0,0,0,0,0,0,0,0
E14001495,E12000009,South West Devon,,South West,England,Rebecca,Smith,Female,Con hold,Con,Lab,77600,52242,119,2112,17916,34.3%,17916,34.3%,17916,15804,5551,9361,2925,0,0,0,0,0,0,0,685,0
E14001496,E12000006,South West Hertfordshire,,East of England,England,Gagan,Mohindra,Male,Con hold,Con,LD,71737,48254,145,4456,16458,34.1%,16458,34.1%,16458,9637,12002,6790,2532,0,0,0,0,0,0,0,835,0
E14001497,E12000006,South West Norfolk,,East of England,England,Terry,Jermy,Male,Lab gain from Con,Lab,Con,74724,44335,139,630,11847,26.7%,11847,26.7%,11217,11847,2618,9958,1838,0,0,0,0,0,0,0,6857,0
E14001498,E12000009,South West Wiltshire,,South West,England,Andrew,Murrison,Male,Con hold,Con,Lab,73071,46168,167,3243,15617,33.8%,15617,33.8%,15617,12374,7205,7840,2243,0,0,0,0,0,0,0,889,0
E14001499,E12000008,Southampton Itchen,,South East,England,Darren,Paffey,Male,Lab gain from Con,Lab,Con,68379,38053,124,6105,15782,41.5%,15782,41.5%,9677,15782,2684,6853,2793,0,0,0,0,0,0,0,264,0
E14001500,E12000008,Southampton Test,,South East,England,Satvir,Kaur,Female,Lab hold,Lab,Con,65520,35805,160,9333,15945,44.5%,15945,44.5%,6612,15945,3252,5261,3594,0,0,0,0,0,0,0,1141,0
E14001501,E12000006,Southend East and Rochford,,East of England,England,Bayo,Alaba,Male,Lab gain from Con,Lab,Con,70217,39656,145,4027,15395,38.8%,15395,38.8%,11368,15395,2269,7214,2716,0,0,0,0,0,0,0,694,0
E14001502,E12000006,Southend West and Leigh,,East of England,England,David,Burton-Sampson,Male,Lab gain from Con,Lab,Con,75154,46968,163,1949,16739,35.6%,16739,35.6%,14790,16739,3174,8273,3262,0,0,0,0,0,0,0,730,0
E14001503,E12000007,Southgate and Wood Green,,London,England,Bambos,Charalambous,Male,Lab hold,Lab,Con,77542,45671,256,15300,23337,51.1%,23337,51.1%,8037,23337,3925,3147,5607,0,0,0,0,0,0,0,1618,0
E14001504,E12000002,Southport,,North West,England,Patrick,Hurley,Male,Lab gain from Con,Lab,Con,73641,45059,127,5789,17252,38.3%,17252,38.3%,11463,17252,5868,7395,2159,0,0,0,0,0,0,0,922,0
E14001505,E12000008,Spelthorne,,South East,England,Lincoln,Jopp,Male,Con hold,Con,Lab,73782,46166,144,1590,14038,30.4%,14038,30.4%,14038,12448,8710,8284,2413,0,0,0,0,0,0,0,273,0
E14001506,E12000003,Spen Valley,,Yorkshire and The Humber,England,Kim,Leadbeater,Female,Lab gain from Con,Lab,RUK,72642,41058,137,6188,16076,39.2%,16076,39.2%,9859,16076,1425,9888,2284,0,0,0,0,0,0,0,1526,0
E14001507,E12000006,St Albans,,East of England,England,Daisy,Cooper,Female,LD hold,LD,Con,72739,51614,203,19834,29222,56.6%,29222,56.6%,9388,5189,29222,4336,3272,0,0,0,0,0,0,0,207,0
E14001508,E12000009,St Austell and Newquay,,South West,England,Noah,Law,Male,Lab gain from Con,Lab,Con,76076,46732,130,2470,15958,34.1%,15958,34.1%,13488,15958,4805,9212,2337,0,0,0,0,0,0,0,932,0
E14001509,E12000002,St Helens North,,North West,England,David,Baines,Male,Lab hold,Lab,RUK,75483,40474,155,12169,21284,52.6%,21284,52.6%,4507,21284,1799,9115,3495,0,0,0,0,0,0,0,274,0
E14001510,E12000002,St Helens South and Whiston,,North West,England,Marie,Rimmer,Female,Lab hold,Lab,RUK,71569,38035,85,11945,18919,49.7%,18919,49.7%,3057,18919,2199,6974,2642,0,0,0,0,0,0,0,4244,0
E14001511,E12000009,St Ives,,South West,England,Andrew,George,Male,LD gain from Con,LD,Con,69978,48106,150,13786,25033,52.0%,25033,52.0%,11247,2788,25033,6492,1797,0,0,0,0,0,0,0,749,0
E14001512,E12000006,St Neots and Mid Cambridgeshire,,East of England,England,Ian,Sollom,Male,LD gain from Con,LD,Con,78115,52882,138,4621,19517,36.9%,19517,36.9%,14896,6918,19517,5673,2663,0,0,0,0,0,0,0,3215,0
E14001513,E12000005,Stafford,,West Midlands,England,Leigh,Ingham,Female,Lab gain from Con,Lab,Con,70608,46009,160,4595,18531,40.3%,18531,40.3%,13936,18531,1676,8612,2856,0,0,0,0,0,0,0,398,0
E14001514,E12000005,Staffordshire Moorlands,,West Midlands,England,Karen,Bradley,Female,Con hold,Con,Lab,69892,43302,188,1175,15310,35.4%,15310,35.4%,15310,14135,1499,10065,2293,0,0,0,0,0,0,0,0,0
E14001515,E12000002,Stalybridge and Hyde,,North West,England,Jonathan,Reynolds,Male,Lab hold,Lab,RUK,72265,37239,117,8539,16320,43.8%,16320,43.8%,6872,16320,1080,7781,2745,0,0,0,0,0,0,0,2441,0
E14001516,E12000006,Stevenage,,East of England,England,Kevin,Bonavia,Male,Lab gain from Con,Lab,Con,70976,42715,155,6618,17698,41.4%,17698,41.4%,11080,17698,3467,7667,2655,0,0,0,0,0,0,0,148,0
S14000105,S92000003,Stirling and Strathallan,,Scotland,Scotland,Chris,Kane,Male,Lab gain from SNP,Lab,SNP,76284,49782,242,1394,16856,33.9%,16856,33.9%,9469,16856,2530,3145,2320,15462,0,0,0,0,0,0,0,0
E14001517,E12000002,Stockport,,North West,England,Navendu,Mishra,Male,Lab hold,Lab,RUK,76632,43683,185,15270,21787,49.9%,21787,49.9%,4967,21787,3724,6517,4865,0,0,0,0,0,0,0,1823,0
E14001518,E12000001,Stockton North,,North East,England,Chris,McDonald,Male,Lab hold,Lab,RUK,70242,37401,125,7939,17128,45.8%,17128,45.8%,8028,17128,1133,9189,1923,0,0,0,0,0,0,0,0,0
E14001519,E12000001,Stockton West,,North East,England,Matt,Vickers,Male,Con hold,Con,Lab,71868,48638,114,2139,20372,41.9%,20372,41.9%,20372,18233,1203,6833,1477,0,0,0,0,0,0,0,520,0
E14001520,E12000005,Stoke-on-Trent Central,,West Midlands,England,Gareth,Snell,Male,Lab gain from Con,Lab,RUK,73812,35289,137,6409,14950,42.4%,14950,42.4%,6221,14950,999,8541,1703,0,0,0,0,0,0,0,2875,0
E14001521,E12000005,Stoke-on-Trent North,,West Midlands,England,David,Williams,Male,Lab gain from Con,Lab,Con,69854,36150,103,5082,14579,40.3%,14579,40.3%,9497,14579,911,8824,1236,0,0,0,0,0,0,0,1103,0
E14001522,E12000005,Stoke-on-Trent South,,West Midlands,England,Allison,Gardner,Female,Lab gain from Con,Lab,Con,70002,40942,120,627,14221,34.7%,14221,34.7%,13594,14221,1577,8851,1207,0,0,0,0,0,0,0,1492,0
E14001523,E12000005,"Stone, Great Wyrley and Penkridge",,West Midlands,England,Gavin,Williamson,Male,Con hold,Con,Lab,71561,42770,727,5466,19880,46.5%,19880,46.5%,19880,14414,2952,0,2236,0,0,0,0,0,0,0,3288,0
